herb_name,city,town,collection_date,longitude,latitude,soil_pH,soil_Cr,soil_Ni,soil_Cu,soil_Zn,soil_As,soil_Cd,soil_Hg,soil_Pb,herb_Cr,herb_Ni,herb_Cu,herb_Zn,herb_As,herb_Cd,herb_Hg,herb_Pb
芡实,宿迁市,泗阳县,2024-9-21,118.840851,33.942184,7.01,54.8,24.6,16.7,65.2,6.8,0.144,0.027,20.41,0.114,0.312,3.227,26.549,0.07,0.006,0.005,0.04
芡实,宿迁市,泗阳县,2024-9-21,118.84079,33.944047,7.02,53.5,23.8,16.4,64.5,6.2,0.158,0.029,20.04,0.11,0.215,4.408,24.092,0.047,0.014,0.003,0.04
芡实,扬州市,高邮市,2024-9-30,119.405857,33.026728,7.32,65.1,30.7,22.3,66.3,12.3,0.102,0.03,23.22,0.051,0.277,3.535,28.516,0.026,0.002,0.002,0.03
芡实,扬州市,高邮市,2024-9-30,119.408072,33.022621,7.3,64.3,28.9,21.7,67.4,10.9,0.094,0.028,22.7,0.057,0.306,2.634,25.745,0.046,0.003,0.001,0.03
芡实,扬州市,高邮市,2024-9-30,119.40364,33.033752,7.29,66.7,31.7,25,69.9,11.3,0.098,0.031,25.41,0.019,0.29,4.952,44.293,0.047,0.008,0.007,0.09
芡实,徐州市,邳州市,2024-10-3,117.897073,34.365036,7.97,67,33.9,24.6,75.6,14.9,0.174,0.015,23.49,0.042,0.232,4.333,44.22,0.171,0.005,0.002,0.09
芡实,徐州市,邳州市,2024-10-3,117.897353,34.365574,7.93,69.6,35.6,27,81.7,17.1,0.205,0.017,25.26,0.177,0.235,5.157,35.387,0.121,0.004,0.004,0.19
芡实,徐州市,邳州市,2024-10-3,117.897423,34.366316,8.05,67.6,34.2,25.2,77.7,14.6,0.166,0.016,23.82,0.022,0.27,4.518,40.765,0.196,0.003,0.012,0.05
芡实,常州市,天宁区,2024-10-10,120.050031,31.817495,6.64,88.3,45.5,37.2,117.9,14.2,0.271,0.083,37.64,0,0.183,4.745,27.731,0.012,0.003,0.005,0.01
芡实,常州市,天宁区,2024-10-10,120.050248,31.81818,6.83,98.5,46.7,36,92.8,13.3,0.154,0.07,29.01,0.025,0.187,2.994,25.254,0.009,0.003,0.004,0
芡实,常州市,天宁区,2024-10-10,120.051152,31.81764,6.75,93.4,43.4,36.5,98.5,12.4,0.231,0.073,31.06,0.09,0.205,3.678,26.113,0.021,0.003,0.002,0
芡实,苏州市,张家港市,2025-10-11,120.647404,31.925977,7.21,79,30,28,86,9.9,0.12,0.029,30,0.11,0.368,2.827,17.869,0.106,0.005,0.014,0.035
芡实,苏州市,张家港市,2025-10-11,120.648105,31.927084,7.63,78,26,23,98,6.9,0.16,0.078,29,0.193,0.28,3.807,24.053,0.084,0.008,0.009,0.031
芡实,苏州市,张家港市,2025-10-11,120.648909,31.926289,7.23,89,31,29,119,8.6,0.24,0.071,33,0.083,0.294,3.46,20.753,0.083,0.007,0.01,0.027
蒲公英,盐城市,盐都区,2025-4-9,120.164516,33.326324,7.27,70.2,26.4,19.4,75.5,7.3,0.1,0.033,21.9,5.398,3.403,13.746,19.756,0.187,0.16,-0.003,0.664
蒲公英,盐城市,盐都区,2025-4-9,120.146837,33.311463,7.57,65,27,15,68,6.5,0.085,0.016,21.3,5.968,3.421,18.182,46.936,0.514,0.24,0.024,1.417
蒲公英,盐城市,东台市,2025-10-20,120.751956,32.82816,8.65,47,19,10,51,6.9,0.118,0.008,15.8,1.517,1.276,12.976,28.744,0.343,0.3,0.011,0.646
蒲公英,盐城市,东台市,2025-10-20,120.752347,32.82751,7.78,46,19,11,65,6.4,0.16,0.013,17.9,3.056,1.665,8.832,25.431,0.273,0.17,0.012,0.318
蒲公英,盐城市,东台市,2025-10-20,120.752323,32.826815,7.68,47,19,10,61,6,0.136,0.011,16.1,0.994,1.424,6.841,12.662,0.152,0.068,0.009,0.285
蒲公英,徐州市,新沂市,2025-10-23,118.415117,34.382205,7.69,65,25,26,119,8.7,0.24,0.027,46.3,2.756,1.779,13.524,29.576,0.296,0.12,0.011,0.975
蒲公英,徐州市,新沂市,2025-10-23,118.416065,34.381876,7.71,51,31,22,112,9.1,0.22,0.019,38.1,3.089,2.009,13.639,41.494,0.226,0.113,0.023,1.273
蒲公英,宿迁市,泗阳县,2025-4-8,118.604505,33.634321,7.3,63,27,20,68,8.97,0.14,0.02,22.6,18.613,8.455,14.152,21.873,0.703,0.1,-0.002,1.244
蒲公英,宿迁市,泗阳县,2025-4-8,118.605758,33.634559,7.29,57,25,18,58,10.21,0.12,0.019,19,47.538,19.899,13.51,34.424,1.226,0.107,-0.002,2.845
蒲公英,苏州市,张家港市,2025-4-12,120.582139,31.852908,6.97,68,29,21,398,5.02,0.12,0.07,22.1,7.274,3.743,16.432,52.418,0.647,0.167,0.002,1.822
