herb_name,city,town,collection_date,longitude,latitude,soil_pH,soil_Cr,soil_Ni,soil_Cu,soil_Zn,soil_As,soil_Cd,soil_Hg,soil_Pb,herb_Cr,herb_Ni,herb_Cu,herb_Zn,herb_As,herb_Cd,herb_Hg,herb_Pb
半夏,徐州市,邳州市,2024-6-16,118.020291,34.39197,7.26,66,30,28,83,7.3,0.2,0.023,25,0.121,0.247,3.623,29.255,0.029,0.03,0.005,0.052
半夏,泰州市,高港区,2024-6-20,119.960431,32.364831,7.27,57,22,13,64,6.5,0.21,0.061,17.5,0.269,0.302,5.527,44.76,0.054,0.076,0.01,0.109
银杏叶,盐城市,盐都区,2024-8-15,120.036485,33.250449,7.15,50,20,16,71,5.3,0.139,0.022,20,1.131,1.146,2.337,4.075,0.076,0.004,0.026,0.738
银杏叶,盐城市,盐都区,2024-8-15,120.03796,33.250673,7.35,50,19,16,84,4.5,0.115,0.02,18.3,0.877,0.552,2.572,4.844,0.103,0.005,0.038,0.593
银杏叶,盐城市,盐都区,2024-8-15,120.037094,33.251236,5.66,53,20,14,63,5.2,0.111,0.024,20,0.746,0.871,2.095,3.932,0.064,0.001,0.031,0.531
银杏叶,盐城市,盐都区,2024-8-15,120.126311,33.221998,6.72,81,37,23,75,8.7,0.135,0.036,24.9,0.448,0.28,2.825,4.321,0.024,0.001,0.015,0.223
银杏叶,盐城市,盐都区,2024-8-15,120.128141,33.222069,6.78,69,31,20,67,5.9,0.111,0.032,22.7,0.256,0.238,3.575,4.373,0.016,0,0.016,0.138
银杏叶,盐城市,盐都区,2024-8-15,120.127374,33.223227,7.15,71,32,21,69,5.9,0.111,0.031,23.8,0.322,0.184,2.719,3.67,0.018,0.002,0.016,0.177
银杏叶,盐城市,东台市,2024-8-31,120.748592,32.82786,7.69,48,18,10,45,5.7,0.141,0.015,14.6,0.931,0.518,2.322,5.759,0.118,0.001,0.032,0.82
银杏叶,盐城市,东台市,2024-8-31,120.751217,32.827628,7.36,50,20,9,55,4.3,0.124,0.016,15,0.922,0.534,3.82,7.416,0.133,0.003,0.036,0.952
银杏叶,泰州市,海陵区,2024-8-7,119.91194,32.494121,6.97,14,5,4,21,1.2,0.05,0.07,228.9,1.656,0.866,3.241,7.587,0.348,0.007,0.03,4.752
银杏叶,泰州市,海陵区,2024-8-7,119.911987,32.49342,7.23,15,6,5,24,1.2,0.06,0.082,272.9,1.972,1.188,3.195,8.681,0.378,0.009,0.027,3.527
银杏叶,泰州市,海陵区,2024-8-7,119.911956,32.492785,7.42,16,8,5,24,1.1,0.07,0.06,190.7,1.501,0.918,3.049,7.113,0.316,0.007,0.026,3.321
银杏叶,泰州市,海陵区,2025-10-4,119.911993,32.493215,7.2,59,20,13,77,6.3,0.19,0.043,27,1.457,0.885,3.093,6.763,0.21,0.008,0.047,1.604
银杏叶,泰州市,海陵区,2025-10-4,119.911966,32.492527,7.04,63,20,13,79,6.6,0.14,0.054,29,1.068,0.702,2.49,5.486,0.167,0.007,0.044,0.825
银杏叶,泰州市,海陵区,2025-10-4,119.911947,32.494392,7.02,61,21,29,88,6.8,0.17,0.038,30,1.876,1.135,3.527,8.394,0.233,0.01,0.051,1.441
银杏叶,泰州市,海陵区,2025-10-4,119.911942,32.493962,7,64,22,13,83,6.4,0.18,0.057,34,1.31,0.794,3.164,7.756,0.194,0.006,0.046,1.348
银杏叶,泰州市,泰兴市,2024-10-5,120.323915,32.273909,7.12,51,20,13,84,4.7,0.17,0.036,20.4,1.509,1.245,4.171,15.492,0.355,0.013,0.058,1.966
银杏叶,宿迁市,沭阳县,2024-8-9,118.751253,34.161103,7.36,61,24,25,128,6.5,0.33,0.046,45.9,0.464,0.761,3.322,5.292,0.127,0.008,0.025,5.86
银杏叶,宿迁市,沭阳县,2024-8-9,118.750637,34.161098,7.26,58,22,17,80,5,0.18,0.046,34,1.092,0.45,2.491,4,0.079,0.007,0.038,6.28
银杏叶,宿迁市,沭阳县,2024-8-9,118.749897,34.161022,7.33,57,19,16,70,2.9,0.18,0.065,34.4,1.556,0.564,1.925,3.988,0.095,0.007,0.027,6.22
银杏叶,宿迁市,沭阳县,2025-10-4,118.751253,34.161103,7.07,69,22,23,91,7.1,0.18,0.044,54,1.074,0.871,2.847,6.67,0.131,0.015,0.042,3.928
银杏叶,宿迁市,沭阳县,2025-10-4,118.750637,34.161098,6.97,79,22,34,163,6.2,0.43,0.048,80,1.075,0.991,3.827,8.44,0.161,0.015,0.032,5.084
银杏叶,宿迁市,沭阳县,2025-10-4,118.749897,34.161022,6.98,69,22,28,119,7.2,0.33,0.055,76,0.837,0.612,2.072,6.557,0.145,0.009,0.027,4.243
银杏叶,宿迁市,沭阳县,2025-10-4,118.803432,34.113512,6.47,67,21,38,95,6.7,0.11,0.065,43,1.308,2.031,4.716,7.054,0.131,0.011,0.046,8.489
银杏叶,宿迁市,沭阳县,2025-10-4,118.803245,34.112909,6.98,73,26,31,111,9.4,0.25,0.051,55,1.398,0.792,2.661,7.657,0.141,0.013,0.031,8.319
银杏叶,宿迁市,沭阳县,2025-10-4,118.803092,34.11264,6.99,68,24,24,78,7.1,0.13,0.026,40,0.852,0.654,2.225,6.594,0.092,0.008,0.034,5.704
银杏叶,苏州市,吴中区,2024-8-12,120.556337,31.203414,7.39,65,28,20,80,8.2,0.19,0.066,22.4,0.697,0.414,2.213,4.879,0.113,0.005,0.038,0.801
银杏叶,苏州市,吴中区,2024-8-12,120.557041,31.203525,7.41,71,31,23,79,10.8,0.17,0.073,24.1,1.083,0.975,6.145,6.994,0.246,0.014,0.042,1.147
银杏叶,苏州市,吴中区,2024-8-12,120.556991,31.204333,7.32,74,31,23,69,9.5,0.16,0.071,23.4,0.59,0.421,2.45,4.277,0.121,0.004,0.041,0.619
银杏叶,苏州市,张家港市,2025-10-2,120.555442,31.887697,7.21,79,30,28,86,9.9,0.12,0.029,30,1.877,1.421,3.626,8.3,0.239,0.006,0.057,1.492
银杏叶,苏州市,张家港市,2025-10-2,120.556195,31.889551,7.63,78,26,23,98,6.9,0.16,0.078,29,1.73,0.931,2.383,7.241,0.167,0.006,0.052,1.277
银杏叶,苏州市,张家港市,2025-10-2,120.560195,31.886478,7.23,89,31,29,119,8.6,0.24,0.071,33,2.846,1.538,4.442,7.689,0.208,0.006,0.056,1.398
银杏叶,南京市,栖霞区,2024-8-12,118.938086,32.105822,7.49,68,31,26,84,10.1,0.18,0.051,22.9,1.047,0.488,2.526,6.175,0.121,0.016,0.033,0.711
银杏叶,南京市,栖霞区,2024-8-12,118.938441,32.105507,7.52,72,33,26,78,10.4,0.2,0.031,23.7,0.892,0.451,2.718,5.69,0.122,0.018,0.044,1.247
银杏叶,南京市,栖霞区,2024-8-12,118.937099,32.104379,7.53,74,35,27,78,10.5,0.16,0.028,27.9,0.969,0.525,3.169,7.312,0.157,0.031,0.046,1.413
银杏叶,无锡市,滨湖区,2024-8-13,120.284162,31.519509,7.09,91,39,34,104,8.3,0.2,0.081,40.2,1.326,0.548,2.422,9.056,0.121,0.013,0.047,0.979
银杏叶,无锡市,滨湖区,2024-8-13,120.283718,31.519503,7.34,86,41,32,104,9.1,0.22,0.071,39.1,0.968,0.777,1.569,6.093,0.127,0.005,0.038,0.771
银杏叶,无锡市,滨湖区,2024-8-13,120.283444,31.51985,7.45,74,32,27,81,8.9,0.19,0.075,29.5,0.929,0.356,2.002,6.057,0.081,0.023,0.044,1.128
银杏叶,淮安市,洪泽区,2024-8-15,119.079742,33.215199,7.16,67,31,21,53,7,0.055,0.015,36.4,0.553,0.377,1.542,3.74,0.115,0.009,0.026,0.945
银杏叶,淮安市,洪泽区,2024-8-15,119.079699,33.215087,7.23,74,36,24,57,8,0.099,0.019,20.4,1.077,0.585,2.433,3.685,0.108,0.008,0.036,0.796
银杏叶,淮安市,洪泽区,2024-8-15,119.079497,33.21503,7.4,71,36,23,56,7.9,0.072,0.019,23,0.424,0.269,1.388,3.132,0.094,0.004,0.021,0.741
银杏叶,扬州市,邗江区,2024-8-15,119.371408,32.394008,7.31,65,25,21,72,7.3,0.11,0.027,22.1,0.693,0.365,1.595,4.494,0.139,0.003,0.028,0.616
银杏叶,扬州市,邗江区,2024-8-15,119.37039,32.394168,7.5,47,19,10,49,3.2,0.13,0.088,19.6,1.019,0.793,1.745,4.901,0.175,0.01,0.033,0.917
银杏叶,扬州市,邗江区,2024-8-15,119.372499,32.392885,7.46,51,20,11,55,3.7,0.12,0.029,16.9,0.633,0.4,1.162,3.693,0.094,0.003,0.022,0.531
银杏叶,连云港,连云区,2024-8-17,119.330214,34.693255,7.41,44,17,20,77,4.2,0.15,0.045,38,1.027,0.571,3.016,4.298,0.123,0.009,0.028,1.874
银杏叶,连云港,连云区,2024-8-17,119.331895,34.692943,7.25,42,22,17,50,5.3,0.08,0.022,25.8,0.732,0.465,2.99,3.937,0.122,0.006,0.027,1.668
银杏叶,连云港,连云区,2024-8-17,119.331014,34.69416,7.41,73,32,41,172,7.2,0.46,0.059,80.8,1.008,0.666,3.529,4.782,0.113,0.009,0.028,2.151
银杏叶,常州市,武进区,2024-8-18,119.952221,31.727716,7.49,77,34,30,117,11.4,0.44,0.057,34,1.938,0.987,5.338,8.111,0.157,0.015,0.054,2.05
银杏叶,常州市,武进区,2024-8-18,119.952219,31.727673,7.51,75,33,27,81,11.3,0.18,0.053,27.1,1.973,0.927,3.563,6.372,0.163,0.008,0.049,2.078
银杏叶,常州市,武进区,2024-8-18,119.952228,31.727417,7.65,76,34,28,83,12.3,0.18,0.246,34.3,2.356,0.94,4.458,8.886,0.223,0.016,0.069,2.599
银杏叶,常州市,武进区,2024-8-18,119.952229,31.727163,7.35,68,28,22,74,10.6,0.11,0.078,22.5,1.945,0.808,4.697,7.136,0.181,0.009,0.053,1.95
银杏叶,镇江市,京口区,2024-8-19,119.436063,32.218449,7.5,81,40,35,142,13.3,0.52,0.099,33.1,0.687,0.628,3.74,5.899,0.156,0.005,0.051,1.044
银杏叶,镇江市,润州区,2024-8-19,119.4319,32.218816,7.49,55,24,16,70,6.1,0.2,0.038,19.5,0.513,0.542,1.982,3.366,0.09,0.001,0.031,0.793
银杏叶,镇江市,润州区,2024-8-19,119.418188,32.217577,6.31,67,31,29,132,11.9,0.58,0.109,248.7,0.406,0.361,2.549,3.496,0.064,0,0.042,0.83
银杏叶,南通市,崇川区,2024-8-23,120.865784,31.994537,7.29,78,28,28,158,8,0.26,0.211,35.8,1.561,1.1,3.762,8.004,0.216,0.004,0.056,1.176
银杏叶,南通市,崇川区,2024-8-23,120.866061,31.993726,7.15,81,31,27,132,8,0.27,0.085,33.4,1.753,1.213,3.986,7.613,0.216,0.004,0.052,1.187
银杏叶,南通市,崇川区,2024-8-23,120.866309,31.993205,7.27,66,26,20,117,8.6,0.24,0.045,29,1.683,1.14,4.28,8.518,0.169,0.004,0.04,1.441
银杏叶,徐州市,邳州市,2024-8-10,118.069093,34.471447,6.17,62,23,21,67,6.6,0.16,0.024,20.8,0.487,2.025,2.415,3.803,0.096,0.02,0.033,2.67
银杏叶,徐州市,邳州市,2024-8-10,118.067773,34.470905,5.99,61,23,20,63,6.8,0.14,0.019,22.6,0.411,2.05,2.51,3.669,0.086,0.015,0.032,2.352
银杏叶,徐州市,邳州市,2024-8-10,118.069851,34.470626,5.8,60,23,19,58,5.3,0.1,0.018,19.5,0.614,2.039,2.577,4.558,0.093,0.023,0.029,3.482
银杏叶,徐州市,邳州市,2024-8-22,118.039406,34.394641,6.13,54,20,21,56,6.9,0.22,0.046,24.1,0.734,3.866,2.38,4.419,0.113,0.022,0.034,5.074
银杏叶（黄叶）,徐州市,邳州市,2024-12-10,118.039406,34.394641,6.13,54,20,21,56,6.9,0.22,0.046,24.1,1.353,0.794,2.17,8.9,1.189,0.853,0.079,39.282
银杏叶,徐州市,邳州市,2024-8-22,118.038809,34.392883,5.67,50,17,13,55,5,0.25,0.026,24.3,0.56,2.28,2.248,4.041,0.131,0.035,0.037,5.79
银杏叶,徐州市,邳州市,2024-8-22,118.039724,34.393874,5.55,47,17,15,57,5.2,0.34,0.049,28,1.962,3.271,2.47,3.8,0.158,0.035,0.04,5.99
银杏叶,徐州市,邳州市,2024-8-24,118.039724,34.393874,5.55,55,21,18,70,6.5,0.38,0.038,32,0.779,3.755,2.08,6.874,0.206,0.049,0.044,5.671
银杏叶,徐州市,邳州市,2025-5-13,118.039406,34.394641,6.13,54,20,21,56,6.9,0.22,0.046,24.1,1.097,6.467,6.546,10.709,0.117,0.063,0.011,2.642
银杏叶,徐州市,邳州市,2025-5-13,118.038809,34.392883,5.67,50,17,13,55,5,0.25,0.026,24.3,0.638,2.243,4.765,8.363,0.092,0.041,0.012,1.958
银杏叶,徐州市,邳州市,2025-5-13,118.039724,34.393874,5.55,47,17,15,57,5.2,0.34,0.049,28,0.569,4.436,6.163,11.278,0.085,0.052,0.018,2.376
银杏叶,徐州市,邳州市,2025-6-20,118.039406,34.394641,5.95,54,20,21,56,6.9,0.22,0.046,24.1,0.731,2.737,5.07,8.032,0.173,0.077,0.017,5.537
银杏叶,徐州市,邳州市,2025-6-20,118.038809,34.392883,5.46,50,17,13,55,5,0.25,0.026,24.3,0.594,3.435,5.15,7.974,0.12,0.059,0.017,4.919
银杏叶,徐州市,邳州市,2025-6-20,118.039724,34.393874,5.46,47,17,15,57,5.2,0.34,0.049,28,0.744,4.988,5.492,8.122,0.152,0.057,0.022,4.712
银杏叶,徐州市,邳州市,2025-6-20,118.040292,34.393804,5.71,55,21,18,70,6.5,0.38,0.038,32,0.662,4.252,5.158,8.58,0.145,0.072,0.017,5.443
银杏叶,徐州市,邳州市,2025-8-3,118.039406,34.394641,6.09,54,20,21,56,6.9,0.22,0.046,24.1,0.78,3.31,4.36,8.24,0.19,0.059,0.03,6.07
银杏叶,徐州市,邳州市,2025-8-3,118.038809,34.392883,5.67,50,17,13,55,5,0.25,0.026,24.3,0.55,2.15,4.55,9.17,0.14,0.034,0.03,3.42
银杏叶,徐州市,邳州市,2025-8-3,118.039724,34.393874,5.55,47,17,15,57,5.2,0.34,0.049,28,0.64,2.42,4.63,11.39,0.14,0.038,0.02,3.85
银杏叶,徐州市,邳州市,2025-8-3,118.040292,34.393804,6.1,55,21,18,70,6.5,0.38,0.038,32,0.82,2.07,3.11,7.909,0.13,0.061,0.01,4.75
银杏叶,徐州市,邳州市,2024-8-22,117.874846,34.630184,6.14,82,43,31,71,11.7,0.22,0.021,33.5,0.8,0.58,2.1,3.443,0.07,0.011,0.02,1.25
银杏叶,徐州市,邳州市,2024-8-22,117.87401,34.629894,7.05,76,38,34,106,11.9,0.39,0.044,32.7,1.49,0.8,2.36,10.281,0.2,0.014,0.02,1.44
银杏叶,徐州市,邳州市,2024-8-22,118.067603,34.5403,6.65,72,32,29,135,10,0.23,0.081,30.7,0.42,0.41,2.98,15.161,0.03,0.012,0.03,1.37
银杏叶,徐州市,邳州市,2024-8-22,118.070178,34.53917,6.55,72,32,31,130,11,0.22,0.036,32,0.61,0.61,5.1,65.709,0.05,0.013,0.02,1.55
银杏叶,徐州市,邳州市,2024-8-22,118.065336,34.539774,5.9,75,33,53,144,13.5,0.21,0.031,31.8,0.35,0.4,1.96,3.803,0.092,0.013,0.04,1.4
银杏叶,徐州市,邳州市,2024-8-22,118.066627,34.539284,5.86,74,32,41,139,12,0.22,0.056,31,0.44,0.51,2.22,3.629,0.063,0.009,0.04,1.5
白果仁,常州市,武进区,2024-8-18,119.952221,31.727716,7.49,77,34,30,117,11.4,0.44,0.057,34,0.184,2.214,12.07,10.611,0.015,0.004,0.001,0.271
白果仁,常州市,武进区,2024-8-18,119.952229,31.727163,7.35,68,28,22,74,10.6,0.11,0.078,22.5,1.098,1.817,8.57,17.285,0.014,0.003,0.005,0.283
白果仁,徐州市,邳州市,2024-8-22,118.039406,34.394641,6.13,54,20,21,56,6.9,0.22,0.046,24.1,0.126,12.597,6.63,12.391,0.016,0.005,0.006,0.207
白果仁,徐州市,邳州市,2024-8-22,118.038809,34.392883,5.67,50,17,13,55,5,0.25,0.026,24.3,0.131,7.135,3.9,14.914,0.018,0.004,0.009,0.244
白果仁,徐州市,邳州市,2024-8-22,118.039724,34.393874,5.55,47,17,15,57,5.2,0.34,0.049,28,0.055,8.194,4.26,12.813,0.025,0.009,0.006,0.351
白果仁,徐州市,邳州市,2024-8-22,118.065336,34.539774,5.9,75,33,53,144,13.5,0.21,0.031,31.8,0.082,1.111,5.08,16.388,0.011,0.003,0.001,0.55
白果仁,徐州市,邳州市,2024-8-24,118.039724,34.393874,5.55,55,21,18,70,6.5,0.38,0.038,32,0.068,9.246,5.03,6.902,0.018,0.002,0.006,0.062
白果仁,徐州市,邳州市,2024-10-3,118.069093,34.471447,6.17,62,23,21,67,6.6,0.16,0.024,20.8,0.094,9.383,3.12,9.934,0.016,0.006,0.005,0.01
白果仁,徐州市,邳州市,2024-10-3,118.067773,34.470905,5.99,61,23,20,63,6.8,0.14,0.019,22.6,0.069,9.505,4.32,12.365,0.011,0.006,0.006,0.654
白果仁,徐州市,邳州市,2024-10-3,118.069851,34.470626,5.8,60,23,19,58,5.3,0.1,0.018,19.5,0.152,10.931,5.29,9.052,0.015,0.005,0.006,0.052
白果仁,宿迁市,沭阳县,2024-10-4,118.751253,34.161103,7.36,61,24,25,128,6.5,0.33,0.046,45.9,0.101,0.376,3.32,4.052,0.012,0.001,0.005,-0.001
白果仁,宿迁市,沭阳县,2024-10-4,118.750637,34.161098,7.26,58,22,17,80,5,0.18,0.046,34,0.7,0.714,4.25,6.138,0.011,0.003,0.006,0.16
白果仁,泰州市,泰兴市,2024-10-5,120.323915,32.273909,7.12,51,20,13,84,4.7,0.17,0.036,20.4,0.299,0.494,6.5,14.239,0.016,0.002,0.007,0.028
白果仁,泰州市,海陵区,2024-10-11,119.911956,32.492785,7.4,16,8,5,24,1.1,0.07,0.06,190.7,0.122,0.32,5.93,9.66,0.063,0.003,0.008,0.027
白果仁,南京市,栖霞区,2024-10-11,118.941488,32.1055,7.29,71.1,33,26,80.1,10.3,0.177,0.037,24.8,0.346,0.752,3.02,15.49,0.01,0,0.005,0.176
白果仁,无锡市,滨湖区,2024-10-13,120.284162,31.519509,7.09,91,39,34,104,8.3,0.2,0.081,40.2,0.201,0.525,4.6,11.043,0.011,0.002,0.005,0.072
白果仁,无锡市,滨湖区,2024-10-13,120.283718,31.519503,7.34,86,41,32,104,9.1,0.22,0.071,39.1,0.112,0.402,4.73,8.163,0.007,0.003,0.005,-0.002
白果仁,无锡市,滨湖区,2024-10-13,120.283444,31.51985,7.45,74,32,27,81,8.9,0.19,0.075,29.5,0.117,0.39,5.2,9.834,0.002,0.001,0.001,-0.002
白果仁,连云港,连云区,2024-8-17,119.331895,34.692943,7.35,42,22,17,50,5.3,0.08,0.022,25.8,0.276,1.17,5.62,13.03,0.011,0.001,0.006,0.088
白果仁,苏州市,吴中区,2024-10-15,120.556337,31.203414,7.39,65,28,20,80,8.2,0.19,0.066,22.4,0.364,0.421,5.46,9.626,0.011,0,0.005,0.14
白果仁,苏州市,吴中区,2024-11-5,120.557041,31.203525,7.41,71,31,23,79,10.8,0.17,0.073,24.1,0.079,0.517,5.16,11.721,0.006,0,0.007,0.005
白果仁,盐城市,东台市,2024-11-30,120.751217,32.827628,7.36,50,20,9,55,4.3,0.124,0.016,15,0.1,0.197,4.72,9.218,0.008,0,0.005,0.062
